# lambda  	 theta 	 Rs 	 Rp 	 Ts 	 Tp
306.0 62.0 0.6939729888 0.2128409883 0.1834021411 0.4929775599
306.0 64.0 0.7114979959 0.1927196895 0.1723547557 0.5050808399
306.0 66.0 0.7296273005 0.1716632822 0.1610347037 0.5177707565
306.0 68.0 0.7483791275 0.1499628128 0.1494333784 0.5308685632
306.0 70.0 0.7677717006 0.1281074883 0.1375409531 0.5440727053
306.0 72.0 0.7878227433 0.1068967793 0.1253465849 0.5568892566
306.0 74.0 0.8085489741 0.0876217141 0.1128386339 0.5685193843
306.0 76.0 0.8299656167 0.0723640268 0.1000048916 0.5776736046
306.0 78.0 0.8520859440 0.0645012003 0.0868328081 0.5822581129
306.0 80.0 0.8749208790 0.0695813327 0.0733097114 0.5788312881
306.0 82.0 0.8984786710 0.0968823719 0.0594230082 0.5616348139
306.0 84.0 0.9227646656 0.1622774330 0.0451603610 0.5208128078
306.0 86.0 0.9477811813 0.2936668729 0.0305098324 0.4390348313
306.0 88.0 0.9735275040 0.5415642118 0.0154599948 0.2849131683
306.0 90.0 1.0000000000 1.0000000000 0.0000000000 0.0000000000
308.0 0.0 0.4250335819 0.4250335819 0.3774276001 0.3774276001
308.0 2.0 0.4253377639 0.4249338828 0.3771965116 0.3774798730
308.0 4.0 0.4262498764 0.4246330623 0.3765037589 0.3776378211
308.0 6.0 0.4277686216 0.4241259609 0.3753508805 0.3779048261
308.0 8.0 0.4298918416 0.4234040127 0.3737404380 0.3782865029
308.0 10.0 0.4326165294 0.4224552942 0.3716760119 0.3787906684
308.0 12.0 0.4359388448 0.4212645887 0.3691621931 0.3794272995
308.0 14.0 0.4398541408 0.4198134657 0.3662045692 0.3802084830
308.0 16.0 0.4443570006 0.4180803701 0.3628097016 0.3811483568
308.0 18.0 0.4494412904 0.4160407183 0.3589850933 0.3822630483
308.0 20.0 0.4551002297 0.4136669974 0.3547391430 0.3835706090
308.0 22.0 0.4613264820 0.4109288635 0.3500810837 0.3850909505
308.0 24.0 0.4681122682 0.4077932341 0.3450209044 0.3868457820
308.0 26.0 0.4754495045 0.4042243744 0.3395692526 0.3888585540
308.0 28.0 0.4833299643 0.4001839705 0.3337373168 0.3911544066
308.0 30.0 0.4917454640 0.3956311928 0.3275366896 0.3937601263
308.0 32.0 0.5006880707 0.3905227469 0.3209792118 0.3967041093
308.0 34.0 0.5101503280 0.3848129161 0.3140767993 0.4000163302
308.0 36.0 0.5201254947 0.3784536012 0.3068412549 0.4037283121
308.0 38.0 0.5306077918 0.3713943683 0.2992840702 0.4078730927
308.0 40.0 0.5415926488 0.3635825204 0.2914162206 0.4124851745
308.0 42.0 0.5530769422 0.3549632196 0.2832479586 0.4176004445
308.0 44.0 0.5650592164 0.3454796958 0.2747886113 0.4232560384
308.0 46.0 0.5775398791 0.3350735997 0.2660463884 0.4294901164
308.0 48.0 0.5905213596 0.3236855797 0.2570282050 0.4363414957
308.0 50.0 0.6040082236 0.3112562043 0.2477395263 0.4438490670
308.0 52.0 0.6180072343 0.2977274080 0.2381842390 0.4520508800
308.0 54.0 0.6325273529 0.2830447231 0.2283645538 0.4609827320
308.0 56.0 0.6475796736 0.2671606951 0.2182809433 0.4706760084
308.0 58.0 0.6631772886 0.2500400794 0.2079321182 0.4811543944
308.0 60.0 0.6793350806 0.2316677374 0.1973150430 0.4924288780
308.0 62.0 0.6960694455 0.2120606507 0.1864249929 0.5044901413
308.0 64.0 0.7133979467 0.1912862894 0.1752556500 0.5172969228
308.0 66.0 0.7313389085 0.1694908964 0.1637992379 0.5307580888
308.0 68.0 0.7499109583 0.1469434817 0.1520466903 0.5447047352
308.0 70.0 0.7691325290 0.1241051197 0.1399878490 0.5588462261
308.0 72.0 0.7890213389 0.1017397872 0.1276116856 0.5726998571
308.0 74.0 0.8095938651 0.0810948882 0.1149065390 0.5854762587
308.0 76.0 0.8308648318 0.0642015601 0.1018603609 0.5958887112
308.0 78.0 0.8528467351 0.0543865592 0.0884609599 0.6018280305
308.0 80.0 0.8755494242 0.0571694098 0.0746962354 0.5997926259
308.0 82.0 0.8989797628 0.0818850280 0.0605543914 0.5838574503
308.0 84.0 0.9231413859 0.1447230079 0.0460241236 0.5437423588
308.0 86.0 0.9480345694 0.2746396745 0.0310947702 0.4610538593
308.0 88.0 0.9736562217 0.5253043565 0.0157564240 0.3016892589
308.0 90.0 1.0000000000 1.0000000000 0.0000000000 0.0000000000
310.0 0.0 0.4313264979 0.4313264979 0.3812332005 0.3812332005
310.0 2.0 0.4316241210 0.4312178184 0.3810026082 0.3812927369
310.0 4.0 0.4325165644 0.4308901043 0.3803113420 0.3814724705
310.0 6.0 0.4340025531 0.4303383379 0.3791609325 0.3817757693
310.0 8.0 0.4360799712 0.4295541858 0.3775539266 0.3822082268
310.0 10.0 0.4387458761 0.4285260419 0.3754938792 0.3827776339
310.0 12.0 0.4419965219 0.4272390846 0.3729853406 0.3834939403
310.0 14.0 0.4458273920 0.4256753460 0.3700338372 0.3843692087
310.0 16.0 0.4502332449 0.4238137903 0.3666458431 0.3854175627
310.0 18.0 0.4552081754 0.4216303962 0.3628287409 0.3866551300
310.0 20.0 0.4607456935 0.4190982424 0.3585907690 0.3880999859
310.0 22.0 0.4668388229 0.4161875893 0.3539409546 0.3897720964
310.0 24.0 0.4734802224 0.4128659561 0.3488890281 0.3916932654
310.0 26.0 0.4806623289 0.4090981875 0.3434453212 0.3938870872
310.0 28.0 0.4883775235 0.4048465100 0.3376206450 0.3963789062
310.0 30.0 0.4966183201 0.4000705747 0.3314261496 0.3991957851
310.0 32.0 0.5053775723 0.3947274874 0.3248731667 0.4023664799
310.0 34.0 0.5146486974 0.3887718290 0.3179730358 0.4059214230
310.0 36.0 0.5244259102 0.3821556703 0.3107369182 0.4098927083
310.0 38.0 0.5347044635 0.3748285930 0.3031756009 0.4143140739
310.0 40.0 0.5454808848 0.3667377292 0.2952992960 0.4192208723
310.0 42.0 0.5567532048 0.3578278468 0.2871174402 0.4246500118
310.0 44.0 0.5685211656 0.3480415131 0.2786384990 0.4306398477
310.0 46.0 0.5807864022 0.3373193923 0.2698697828 0.4372299883
310.0 48.0 0.5935525869 0.3256007524 0.2608172791 0.4444609655
310.0 50.0 0.6068255285 0.3128242988 0.2514855076 0.4523736958
310.0 52.0 0.6206132168 0.2989295042 0.2418774021 0.4610086206
310.0 54.0 0.6349258082 0.2838586906 0.2319942253 0.4704043608
310.0 56.0 0.6497755428 0.2675602470 0.2218355192 0.4805956374
310.0 58.0 0.6651765926 0.2499935669 0.2113990945 0.4916100792
310.0 60.0 0.6811448368 0.2311365998 0.2006810609 0.5034633372
310.0 62.0 0.6976975659 0.2109974123 0.1896758989 0.5161516017
310.0 64.0 0.7148531171 0.1896319580 0.1783765723 0.5296400955
310.0 66.0 0.7326304479 0.1671715829 0.1667746793 0.5438452528
310.0 68.0 0.7510486574 0.1438660262 0.1548606395 0.5586068491
310.0 70.0 0.7701264677 0.1201515092 0.1426239101 0.5736438523
310.0 72.0 0.7898816804 0.0967602493 0.1300532269 0.5884833907
310.0 74.0 0.8103306282 0.0748999377 0.1171368607 0.6023443073
310.0 76.0 0.8314876403 0.0565544263 0.1038628816 0.6139420206
310.0 78.0 0.8533645456 0.0450005825 0.0902194211 0.6211530161
310.0 80.0 0.8759702350 0.0457234975 0.0761949219 0.6204206204
310.0 82.0 0.8993103040 0.0680933658 0.0617783659 0.6056660153
310.0 84.0 0.9233867981 0.1285600098 0.0469594716 0.5662132669
310.0 86.0 0.9481980727 0.2570110338 0.0317288522 0.4826586675
310.0 88.0 0.9737387821 0.5100431576 0.0160781296 0.3182471680
310.0 90.0 1.0000000000 1.0000000000 0.0000000000 0.0000000000
312.0 0.0 0.4386751130 0.4386751130 0.3821244902 0.3821244902
312.0 2.0 0.4389663662 0.4385586079 0.3818954299 0.3821904620
312.0 4.0 0.4398397039 0.4382074599 0.3812087592 0.3823894922
312.0 6.0 0.4412938630 0.4376167794 0.3800660069 0.3827249208
312.0 8.0 0.4433267503 0.4367784427 0.3784697146 0.3832022963
312.0 10.0 0.4459354613 0.4356811302 0.3764234253 0.3838293504
312.0 12.0 0.4491163085 0.4343103765 0.3739316668 0.3846159632
312.0 14.0 0.4528648612 0.4326486312 0.3709999269 0.3855741219
