x(m)	y(m)	Flux(W/m2)
2.62295	-2.15217	75199
2.7541	-2.15217	45119.4
2.88525	-2.15217	45119.4
3.01639	-2.15217	30079.6
3.14754	-2.15217	15039.8
3.27869	-2.15217	0
3.40984	-2.15217	15039.8
3.54098	-2.15217	0
3.67213	-2.15217	15039.8
3.80328	-2.15217	45119.4
3.93443	-2.15217	0
-3.93443	-2.02174	30079.6
-3.80328	-2.02174	30079.6
-3.67213	-2.02174	0
-3.54098	-2.02174	15039.8
-3.40984	-2.02174	30079.6
-3.27869	-2.02174	30079.6
-3.14754	-2.02174	45119.4
-3.01639	-2.02174	60159.2
-2.88525	-2.02174	75199
-2.7541	-2.02174	45119.4
-2.62295	-2.02174	60159.2
-2.4918	-2.02174	135358
-2.36066	-2.02174	105279
-2.22951	-2.02174	135358
-2.09836	-2.02174	195517
-1.96721	-2.02174	165438
-1.83607	-2.02174	165438
-1.70492	-2.02174	120318
-1.57377	-2.02174	330875
-1.44262	-2.02174	345915
-1.31148	-2.02174	255676
-1.18033	-2.02174	586552
-1.04918	-2.02174	270716
-0.918033	-2.02174	330875
-0.786885	-2.02174	451194
-0.655738	-2.02174	451194
-0.52459	-2.02174	481273
-0.393443	-2.02174	511353
-0.262295	-2.02174	436154
-0.131148	-2.02174	601592
4.44089e-16	-2.02174	616631
0.131148	-2.02174	526393
0.262295	-2.02174	526393
0.393443	-2.02174	496313
0.52459	-2.02174	526393
0.655738	-2.02174	375995
0.786885	-2.02174	375995
0.918033	-2.02174	330875
1.04918	-2.02174	451194
1.18033	-2.02174	421114
1.31148	-2.02174	270716
1.44262	-2.02174	315836
1.57377	-2.02174	225597
1.70492	-2.02174	285756
1.83607	-2.02174	210557
1.96721	-2.02174	210557
2.09836	-2.02174	120318
2.22951	-2.02174	150398
2.36066	-2.02174	165438
2.4918	-2.02174	90238.7
2.62295	-2.02174	60159.2
2.7541	-2.02174	15039.8
2.88525	-2.02174	30079.6
3.01639	-2.02174	30079.6
3.14754	-2.02174	30079.6
3.27869	-2.02174	0
3.40984	-2.02174	0
3.54098	-2.02174	0
3.67213	-2.02174	0
3.80328	-2.02174	0
3.93443	-2.02174	15039.8
-3.93443	-1.8913	0
-3.80328	-1.8913	30079.6
-3.67213	-1.8913	0
-3.54098	-1.8913	15039.8
-3.40984	-1.8913	15039.8
-3.27869	-1.8913	45119.4
-3.14754	-1.8913	15039.8
-3.01639	-1.8913	30079.6
-2.88525	-1.8913	60159.2
-2.7541	-1.8913	60159.2
-2.62295	-1.8913	60159.2
-2.4918	-1.8913	105279
-2.36066	-1.8913	105279
-2.22951	-1.8913	255676
-2.09836	-1.8913	75199
-1.96721	-1.8913	255676
-1.83607	-1.8913	330875
-1.70492	-1.8913	285756
-1.57377	-1.8913	315836
-1.44262	-1.8913	315836
-1.31148	-1.8913	421114
-1.18033	-1.8913	556472
-1.04918	-1.8913	481273
-0.918033	-1.8913	526393
-0.786885	-1.8913	556472
-0.655738	-1.8913	556472
-0.52459	-1.8913	436154
-0.393443	-1.8913	661751
-0.262295	-1.8913	736950
-0.131148	-1.8913	616631
4.44089e-16	-1.8913	706870
0.131148	-1.8913	646711
0.262295	-1.8913	586552
0.393443	-1.8913	646711
0.52459	-1.8913	676791
0.655738	-1.8913	391035
0.786885	-1.8913	511353
0.918033	-1.8913	466234
1.04918	-1.8913	436154
1.18033	-1.8913	451194
1.31148	-1.8913	466234
1.44262	-1.8913	330875
1.57377	-1.8913	285756
1.70492	-1.8913	195517
1.83607	-1.8913	240637
1.96721	-1.8913	150398
2.09836	-1.8913	255676
2.22951	-1.8913	150398
2.36066	-1.8913	45119.4
2.4918	-1.8913	150398
2.62295	-1.8913	75199
2.7541	-1.8913	60159.2
